click	weekday	hour	bidid	timestamp	logtype	ipinyouid	useragent	IP	region	city	adexchange	domain	url	urlid	slotid	slotwidth	slotheight	slotvisibility	slotformat	slotprice	creative	bidprice	payprice	keypage	advertiser	usertag
0	4	00	81aced04baad90f9358aa39a4521cd6f	20130606000104828	1	Vhk7ZAnxDIuOjCn	windows_ie	115.45.195.*	216	219	1	trqRTJkrBoq7JsNr5SqfNX	f41292b3547399af082eccc2ad28f23c	null	mm_34022157_3445226_11175096	336	280	2	1	0	77819d3e0b3467fe5c7b16d68ad923a1	300	51	bebefa5efe83beee17a3d245e7c5085b	1458	10006,10110
0	4	00	572fa35095e8b6c30b1aa871e52b2d	20130606000105075	1	Z0n7Ce1GPe5-toc	windows_chrome	120.40.95.*	124	125	1	trqRTJjrXqf7FmMs	23510110004d0dcb593e2e3c1fc46e28	null	mm_13991432_2298120_9467354	336	280	0	1	0	77819d3e0b3467fe5c7b16d68ad923a1	300	87	bebefa5efe83beee17a3d245e7c5085b	1458	10031,13042,10110
0	4	00	e1e44b8a725b957a626991ecb15b56f	20130606000105119	1	VhkE1w9iOeu2eWz	windows_ie	60.163.144.*	94	98	1	5On-q5uvgN171m58uG	c2015a85d584d92f7da991154996254f	null	mm_10024662_3445902_11178359	336	280	2	1	0	77819d3e0b3467fe5c7b16d68ad923a1	300	33	bebefa5efe83beee17a3d245e7c5085b	1458	10006,10110
0	4	00	f250658c8cfc615c824f9552497d6325	20130606000105254	1	Vh1K15crOZ1djGn	windows_ie	123.120.244.*	1	1	1	DFpETuxoGQdcFNKbuKz	ddf8456b147b27d139d8927648a35269	null	mm_10024662_3445902_11178345	336	280	2	1	0	77819d3e0b3467fe5c7b16d68ad923a1	300	65	bebefa5efe83beee17a3d245e7c5085b	1458	10052,10006,10110
0	4	00	125f1b570af0b42341eb60a532544f0b	20130606000105284	1	Vh2EPxqxLTLWFgB	windows_chrome	222.75.4.*	368	369	1	trqRTvNNQIj7gspy	bdf36944310d166afefef12ea62f9c80	null	mm_12987374_1803472_13162557	728	90	0	1	0	48f2e9ba15708c0146bda5e1dd653caa	300	238	bebefa5efe83beee17a3d245e7c5085b	1458	10074,10083,13800,10077,10006,10063,10075,10048,10031,10059,10076,10024,10079,10057,10111
0	4	00	3a799517748639990b899fc611ec8830	20130606000105302	1	Vhk7ZAnyPTb9tbb	windows_ie	113.200.77.*	333	334	1	DFpETuxoGQdcFNKbuKz	8146fc56f12834fb2b2bff57c9f9836a	null	mm_10024662_3445902_11178345	336	280	2	1	0	77819d3e0b3467fe5c7b16d68ad923a1	300	65	bebefa5efe83beee17a3d245e7c5085b	1458	10006,10110
0	4	00	f4cc8a2ac2dd52b5cff548e5bbf45677	20130606000105333	1	Vhk7ZAnyPt1Zjsn	windows_chrome	110.190.28.*	276	290	1	51F-l19YBqq4gsz4JKTI	b9fba4ea313b45f353bb709ceccf258d	null	mm_10024662_3445902_11178361	336	280	2	1	0	77819d3e0b3467fe5c7b16d68ad923a1	300	6	bebefa5efe83beee17a3d245e7c5085b	1458	10006,10110
0	4	00	85f33913696667652389ad45d1131977	20130606000105426	1	VhKC1w5aOluc3hb	windows_ie	110.179.226.*	15	16	1	trqRTJz7P9T4wTKbuKz	93097d863ec4c63e8a4b367e80adabef	null	mm_31490035_2989693_10122932	336	280	2	1	0	77819d3e0b3467fe5c7b16d68ad923a1	300	129	bebefa5efe83beee17a3d245e7c5085b	1458	10083,10063,10075,10052,10057,10006,10077,14273,13678,13800,10024,10110
0	4	00	c854e61d821a2076054328212704906d	20130606000105431	1	VhT31p1oDv563VC	windows_ie	123.139.96.*	333	334	1	trqRTJjSLepEj9KbuKz	f6c316c10153a848dc736638e8cf85ec	null	mm_30203027_2687394_10556500	728	90	2	1	0	48f2e9ba15708c0146bda5e1dd653caa	300	57	bebefa5efe83beee17a3d245e7c5085b	1458	10063
0	4	00	8b089b1437f9937d4cd3bc8dcfc00285	20130606000105480	1	Vhk7ZAnyP8jWghz	windows_chrome	60.12.97.*	94	100	1	trqRTvp8gIc7gspy	fbaeed65fa8f345e9258dd138bedc4f1	null	mm_33208362_3404787_11159869	160	600	2	1	0	cb7c76e7784031272e37af8e7e9b062c	300	81	bebefa5efe83beee17a3d245e7c5085b	1458	13866,10111
0	4	00	72879b068fef3c7bc26c2d3a6c2afd51	20130606000105509	1	Vhk7ZAnyPIc9tbE	windows_chrome	121.225.158.*	80	84	1	trqRTuqbjoFf1mKYUV	de0cca5e48416f351b0cdff921ca803b	null	mm_34955955_3463088_11267874	728	90	0	1	0	48f2e9ba15708c0146bda5e1dd653caa	300	55	bebefa5efe83beee17a3d245e7c5085b	1458	10063,10031,13042,13866,10083,10006,10110
0	4	00	badb9e7c89f2bd6f44c1c1297374ead8	20130606000105540	1	Vhkr1wTND8Ffw-C	windows_ie	125.40.181.*	164	171	1	trqRTJa9jNuYgmn4JKTI	379370053657f1e8592aef794ea8e7b0	null	mm_10065060_2407762_11003286	728	90	1	1	0	48f2e9ba15708c0146bda5e1dd653caa	300	76	bebefa5efe83beee17a3d245e7c5085b	1458	10083,10110
0	4	00	44e9969505423047c9d16d53bd4c3dfd	20130606000105602	1	VhpTPJqQP9uo3Yz	windows_ie	183.27.100.*	216	222	1	DFpETuxoGQdcFNKbuKz	7a15ba6f6ead77d8518f5e485d9e412e	null	mm_10024662_3445902_11178345	336	280	2	1	0	77819d3e0b3467fe5c7b16d68ad923a1	300	12	bebefa5efe83beee17a3d245e7c5085b	1458	10024,10006,10110
